id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Highway,The Wanderers,country,relaxed,0.55,95,0.68,0.51,0.78
12,Bass Drop Kingdom,DJ Voltage,electronic,intense,0.89,128,0.52,0.91,0.08
13,Velvet Lounge,Smooth Collective,jazz,moody,0.32,85,0.44,0.48,0.81
14,Pixel Dreams,Chiptune Heroes,chiptune,happy,0.71,140,0.88,0.76,0.12
15,Mountain Echo,Folk Remedy,folk,relaxed,0.41,102,0.72,0.44,0.91
16,Neon Samurai,Cyber Ronin,synthwave,intense,0.84,115,0.38,0.69,0.15
17,Sunday Morning Blues,The Slow Notes,blues,moody,0.38,68,0.41,0.39,0.88
18,Festival Anthem,Major Keys,edm,happy,0.96,145,0.92,0.94,0.03
19,Rainforest Meditation,Nature Sounds Co,ambient,chill,0.18,55,0.68,0.22,0.97
20,Classical Sunrise,String Ensemble,classical,relaxed,0.44,76,0.79,0.31,0.95